contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SNDK270115P00940000,2026-09-01 18:44:02+00:00,940.0,35.75,35.0,36.8,0.0,0.0,3.0,234,0.7311428253173828,False,REGULAR,USD
SNDK270115P00950000,2026-09-01 18:12:46+00:00,950.0,35.64,36.7,38.6,0.0,0.0,6.0,1081,0.7300594621276855,False,REGULAR,USD
SNDK270115P00960000,2026-09-01 18:46:07+00:00,960.0,40.4,37.9,42.3,0.0,0.0,3.0,148,0.7328975685119627,False,REGULAR,USD
SNDK270115P00970000,2026-08-31 16:24:37+00:00,970.0,44.95,39.7,43.8,0.0,0.0,4.0,176,0.7304790746307372,False,REGULAR,USD
SNDK270115P00980000,2026-09-01 19:31:26+00:00,980.0,43.6,41.4,45.6,0.0,0.0,2.0,166,0.7283810121154786,False,REGULAR,USD
SNDK270115P00990000,2026-09-02 14:42:26+00:00,990.0,44.53,44.2,46.1,5.529999,14.179484,2.0,514,0.7254589832305908,False,REGULAR,USD
SNDK270115P01000000,2026-09-02 14:59:20+00:00,1000.0,48.0,46.5,48.2,1.0,2.1276596,28.0,1362,0.7253140261840819,False,REGULAR,USD
SNDK270115P01010000,2026-08-31 19:25:28+00:00,1010.0,57.4,48.5,50.5,0.0,0.0,2.0,149,0.7245587236785888,False,REGULAR,USD
SNDK270115P01020000,2026-08-31 14:03:58+00:00,1020.0,55.4,50.8,52.6,0.0,0.0,1.0,63,0.7237423866271973,False,REGULAR,USD
SNDK270115P01030000,2026-08-18 19:58:03+00:00,1030.0,82.55,52.7,54.8,0.0,0.0,16.0,58,0.7218655743408204,False,REGULAR,USD
SNDK270115P01040000,2026-08-27 18:18:05+00:00,1040.0,75.15,55.3,57.1,0.0,0.0,11.0,135,0.721705358657837,False,REGULAR,USD
SNDK270115P01050000,2026-08-18 19:34:20+00:00,1050.0,89.4,57.9,60.1,0.0,0.0,10.0,649,0.7229031616210937,False,REGULAR,USD
SNDK270115P01060000,2026-09-01 16:44:53+00:00,1060.0,56.65,60.4,62.3,0.0,0.0,1.0,222,0.7216061775207521,False,REGULAR,USD
SNDK270115P01070000,2026-08-31 18:28:13+00:00,1070.0,66.65,62.6,64.9,0.0,0.0,8.0,198,0.7202634175109863,False,REGULAR,USD
SNDK270115P01080000,2026-08-27 18:44:22+00:00,1080.0,85.9,65.0,67.5,0.0,0.0,7.0,141,0.7191113904571534,False,REGULAR,USD
SNDK270115P01090000,2026-09-02 14:10:37+00:00,1090.0,70.65,67.5,70.1,5.489998,8.42541,10.0,179,0.7179212168121338,False,REGULAR,USD
SNDK270115P01100000,2026-09-02 15:06:52+00:00,1100.0,71.5,70.0,72.3,-1.800003,-2.4556658,11.0,496,0.7155942747497559,False,REGULAR,USD
SNDK270115P01110000,2026-09-01 14:11:47+00:00,1110.0,74.0,73.7,76.0,0.0,0.0,1.0,220,0.7188062177276612,False,REGULAR,USD
SNDK270115P01120000,2026-09-02 14:01:37+00:00,1120.0,79.9,76.4,78.6,2.0,2.567394,1.0,199,0.7172116902160646,False,REGULAR,USD
SNDK270115P01130000,2026-09-01 17:52:12+00:00,1130.0,76.55,79.7,82.5,0.0,0.0,11.0,217,0.7192716061401367,False,REGULAR,USD
SNDK270115P01140000,2026-08-28 19:50:19+00:00,1140.0,94.3,82.4,84.8,0.0,0.0,3.0,969,0.7165555688476561,False,REGULAR,USD
SNDK270115P01150000,2026-09-01 18:16:25+00:00,1150.0,85.0,85.7,88.4,0.0,0.0,4.0,171,0.7173947938537597,False,REGULAR,USD
SNDK270115P01160000,2026-08-31 14:26:22+00:00,1160.0,94.7,89.2,91.8,0.0,0.0,4.0,128,0.7179288461303711,False,REGULAR,USD
